Data Name,Data Name Link,Data Source,Data Source Link
Provitamins and vitamins,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a35250-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Cocoa Beans and products,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2633%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cereals - Excluding Beer,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2905%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Pyrethrum, dried flowers",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a754%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Actual evapotranspiration,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a7%3bcountryID%3a710,Environment Statistics Database,javascript:;
Tin ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14290-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Marble, travertines, etc.",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a15120-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Hazardous waste generated,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a2830%3bcountryID%3a710,Environment Statistics Database,javascript:;
Children orphaned by AIDS,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a36%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Most recent census (year),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS10_1%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Under-five mortality rate,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a42%3bcrID%3a79,Gender Info,javascript:;
Deaths averted due to ART,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a43%3bcrID%3a204%2c278%2c281%2c901%2c902,UNAIDS Data,javascript:;
"Trade of goods, US$, HS, 45 Cork and articles of cork",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a46%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Other oil products n.e.c.,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aPP%3bcrID%3a710,Energy Statistics Database,javascript:;
"Trade of goods, US$, HS, 78 Lead and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a78%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Trade of goods, US$, HS, 79 Zinc and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a79%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Wood fuel, non-coniferous",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1628%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Part-time employment rate,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a109%3bcrID%3a79,Gender Info,javascript:;
"Oilcrops, Cake Equivalent",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1841%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Roundwood, non-coniferous",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1863%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Sunflower-seed oil, crude",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a268%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pig iron and spiegeleisen,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a41111-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Safflower-seed oil, crude",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a281%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Air conditioning machines,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a43912-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Cauliflowers and broccoli,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a393%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a4004%3bcountryCode%3a202,FAOSTAT,javascript:;
Superphosphates above 35%,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a4012%3bcountryCode%3a202,FAOSTAT,javascript:;
"Onions and shallots, dry (excluding dehydrated)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a403%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Skim milk and whey powder,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a898%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5104,FAOSTAT,javascript:;
"Trade of goods, US$, HS, 02 Meat and edible meat offal",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a3%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Female/male ratio at age x,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a8%3bcrID%3a79,Gender Info,javascript:;
Female/male ratio at birth,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a9%3bcrID%3a79,Gender Info,javascript:;
Iron ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14100-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Gold ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14240-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Lead ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14290-2%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Zinc ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14290-3%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Hazardous waste landfilled,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a1841%3bcountryID%3a710,Environment Statistics Database,javascript:;
"Trade of goods, US$, HS, 65 Headgear and parts thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a66%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Total fertility rate (TFR),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a127%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Other paper and paperboard,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1675%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Other industrial roundwood,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1871%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Adult support for learning,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a236%3bcrID%3a484,The State of the World’s Children,javascript:;
Multi-nutrient fertilizers,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a34619-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Pulses, Other and products",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2549%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Lemons, Limes and products",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2612%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Onions and shallots, green",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a402%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5105,FAOSTAT,javascript:;
"Other citrus fruit, n.e.c.",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a512%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a689%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cheese from whole cow milk,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a901%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Table with data on Refugees,https://data.un.org/Data.aspx?q=africa&d=UNHCR&f=indID%3aType-Ref%3basyID%3aZAF,UNHCR Statistical Database,javascript:;
Table with data on Refugees,https://data.un.org/Data.aspx?q=africa&d=UNHCR&f=indID%3aType-Ref%3boriID%3aZAF,UNHCR Statistical Database,javascript:;
Sex workers: HIV prevalence,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a9%3bcrID%3a278%2c281%2c901%2c902,UNAIDS Data,javascript:;
Male population (thousands),https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a10%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Age-specific fertility rate,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a13%3bcrID%3a79,Gender Info,javascript:;
Table 4.6 Households (S.14),https://data.un.org/Data.aspx?q=africa&d=SNA&f=group_code%3a406%3bcountry_code%3a710,National Accounts Official Country Data,javascript:;
Infant mortality rate (IMR),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a18%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Hazardous waste incinerated,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a2574%3bcountryID%3a710,Environment Statistics Database,javascript:;
"Trade of goods, US$, HS, 40 Rubber and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a41%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Natural Gas (including LNG),https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aNG%3bcrID%3a710,Energy Statistics Database,javascript:;
National accounts - Exports,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a90%3bCountryCode%3a199,International Financial Statistics,javascript:;
"Oil, corn, crude or refined",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a21660-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Trade of goods, US$, HS, 74 Copper and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a75%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Trade of goods, US$, HS, 75 Nickel and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a76%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
People living with HIV/AIDS,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a102%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Outbound mobility ratio (%),https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aED_FSOPTE%3bref_area%3aZAF,UIS Data Centre,javascript:;
Percent own-account workers,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a116%3bcrID%3a79,Gender Info,javascript:;
Number of nursing personnel,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_01%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Printing and writing papers,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1674%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Rail lines (total route-km),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIS.RRS.TOTL.KM%3bCountry_Code%3aZAF,World Development Indicators,javascript:;
"Skim Milk & Buttermilk, Dry",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1809%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Evaporated & Condensed Milk,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1816%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5104,FAOSTAT,javascript:;
Number of researchers in HC,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_21001%3bref_area%3aZAF,UIS Data Centre,javascript:;
Number of technicians in HC,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_21002%3bref_area%3aZAF,UIS Data Centre,javascript:;
Polyamides in primary forms,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a34790-3%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Sacks and bags, of plastics",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a36410-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Pumpkins, squash and gourds",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a394%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Maximum Dry Bulb Temperature,https://data.un.org/Data.aspx?q=africa&d=CLINO&f=ElementCode%3a02%3bCountryCode%3aUA+,World Meteorological Organization Standard Normals,javascript:;
Minimum Dry Bulb Temperature,https://data.un.org/Data.aspx?q=africa&d=CLINO&f=ElementCode%3a03%3bCountryCode%3aUA+,World Meteorological Organization Standard Normals,javascript:;
Fresh groundwater abstracted,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a25%3bcountryID%3a710,Environment Statistics Database,javascript:;
"Trade of goods, US$, HS, 09 Coffee, tea, mate and spices",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a10%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Copper ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14210-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Nickel ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14220-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"PPG, IBRD (DOD, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.MIBR.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Silver ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14240-2%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Trade of goods, US$, HS, 18 Cocoa and cocoa preparations",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a19%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Percent widowed in age group,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a24%3bcrID%3a79,Gender Info,javascript:;
"Horse meat, fresh or chilled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1097%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Male circumcisions performed,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a60%3bcrID%3a204,UNAIDS Data,javascript:;
Continued breastfeeding rate,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a89%3bcrID%3a483%2c484%2c494%2c535,The State of the World’s Children,javascript:;
Exclusive breastfeeding rate,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a92%3bcrID%3a483%2c484%2c494%2c535,The State of the World’s Children,javascript:;
"Sawnwood, non-coniferous all",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1633%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Percent employed in industry,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a112%3bcrID%3a79,Gender Info,javascript:;
Percent employed in services,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a113%3bcrID%3a79,Gender Info,javascript:;
Number of medical assistants,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_17%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
"Chemical wood pulp, sulphite",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1686%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Knitted or crocheted fabrics,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a28100-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Vegetables and Fruit Primary,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1739%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Adjusted net intake rate GPI,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aNIRA_1_GPI%3bref_area%3aMDG_NAFR%2cMDG_SSA%2cZAF,UIS Data Centre,javascript:;
Number of researchers in FTE,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_20001%3bref_area%3aZAF,UIS Data Centre,javascript:;
Number of technicians in FTE,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_20002%3bref_area%3aZAF,UIS Data Centre,javascript:;
Live births by age of father,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a270%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
"Zinc, unwrought, not alloyed",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a41442-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a401%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cantaloupes and other melons,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a568%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Nutmeg, mace, cardamoms, raw",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a702%3bcountryCode%3a5100%2c5101%2c5105,FAOSTAT,javascript:;
"Flax, processed but not spun",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a773%3bcountryCode%3a5100%2c5103,FAOSTAT,javascript:;
Cheese from skimmed cow milk,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a904%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Fixed-telephone subscriptions,https://data.un.org/Data.aspx?q=africa&d=ITU&f=ind1Code%3aI112%3bcountryCode%3aZAF,World Telecommunication/ICT Indicators Database,javascript:;
Uranium ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a13000-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Female population (thousands),https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a11%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Table 4.1 Total Economy (S.1),https://data.un.org/Data.aspx?q=africa&d=SNA&f=group_code%3a401%3bcountry_code%3a710,National Accounts Official Country Data,javascript:;
"PPG, bonds (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.PBND.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
"PNG, bonds (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.PNGB.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Salt and pure sodium chloride,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a16200-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Total debt service (% of GNI),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.TDS.DECT.GN.ZS%3bCountry_Code%3aAFE%2cAFW%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Trade of goods, US$, HS, 39 Plastics and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a40%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Horse meat, fresh or chilled (indigenous)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1120%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Population median age (years),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS9_88%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Balance of payments - Exports,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a70%3bCountryCode%3a199%2c605,International Financial Statistics,javascript:;
Balance of payments - Imports,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a71%3bCountryCode%3a199%2c605,International Financial Statistics,javascript:;
Live births by month of birth,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a55%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
"Trade of goods, US$, HS, 60 Fabrics; knitted or crocheted",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a61%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Milk and cream in solid forms,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a22910-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Antenatal care coverage (ANC),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a77%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Women's share of labour force,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a107%3bcrID%3a79,Gender Info,javascript:;
Household and sanitary papers,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1676%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Number of dentistry personnel,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_21%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
"Fibre Crops, Fibre Equivalent",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a17530%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Armed forces personnel, total",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aMS.MIL.TOTL.P1%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Father's support for learning,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a237%3bcrID%3a484,The State of the World’s Children,javascript:;
"Groundnuts, excluding shelled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a242%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Building bricks, made of clay",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a37350-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Rapeseed or canola oil, crude",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a271%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Plantains and cooking bananas,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a489%3bcountryCode%3a5100%2c5101%2c5102%2c5105,FAOSTAT,javascript:;
"Other tropical fruits, n.e.c.",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a603%3bcountryCode%3a5100%2c5101%2c5103%2c5105,FAOSTAT,javascript:;
Naturally regenerating forest,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a6717%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Raw hides and skins of cattle,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a919%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Butter and ghee of sheep milk,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a983%3bcountryCode%3a5100%2c5103,FAOSTAT,javascript:;
"Meat of goat, fresh or chilled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1017%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Fresh surface water abstracted,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a24%3bcountryID%3a710,Environment Statistics Database,javascript:;
Renewable freshwater resources,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a124%3bcountryID%3a710,Environment Statistics Database,javascript:;
Platinum ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14240-3%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Trade of goods, US$, HS, 17 Sugars and sugar confectionery",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a18%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Chromium ores and concentrates,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a14290-4%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Singulate mean age at marriage,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a20%3bcrID%3a79,Gender Info,javascript:;
Maternal mortality ratio (MMR),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a20%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
"Trade of goods, US$, HS, 22 Beverages, spirits and vinegar",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a23%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Total number of radio channels,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_RT_600134%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Compulsory Education, Duration",https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aCEDUR_1%3bref_area%3aZAF,UIS Data Centre,javascript:;
Enrolment in primary education,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a63%3bcrID%3a79,Gender Info,javascript:;
Adult HIV/AIDS prevalence rate,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a73%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
"Trade of goods, US$, HS, 76 Aluminium and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a77%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Ice cream and other edible ice,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a22970-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
